Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 18:31:37.872,0,0,0,0,0,0,0,0,0,
0.04, 18:31:38.109,0,0,0,0,0,0,0,0,0,
0.3733333, 18:31:39.489,0,0,0,0,0,0,0,0,0,
0.6349288, 18:31:39.751,0,0,0,0,0,0,0,0,0,
0.7074631, 18:31:39.811,0,0,0,0,0,0,0,0,0,
0.7516804, 18:31:39.852,0,0,0,0,0,0,0,0,0,
0.815159, 18:31:39.916,0,0,0,0,0,0,0,0,0,
0.855153, 18:31:39.957,0,0,0,0,0,0,0,0,0,
0.8948725, 18:31:39.995,0,0,0,0,0,0,0,0,0,
0.9315765, 18:31:40.032,0,0,0,0,0,0,0,0,0,
0.963403, 18:31:40.063,0,0,0,0,0,0,0,0,0,
1.003129, 18:31:40.103,0,0,0,0,0,0,0,0,0,
1.034741, 18:31:40.134,0,0,0,0,0,0,0,0,0,
1.069867, 18:31:40.170,0,0,0,0,0,0,0,0,0,
1.104561, 18:31:40.205,0,0,0,0,0,0,0,0,0,
1.143786, 18:31:40.244,0,0,0,0,0,0,0,0,0,
1.175477, 18:31:40.275,0,0,0,0,0,0,0,0,0,
1.214366, 18:31:40.315,0,0,0,0,0,0,0,0,0,
1.247286, 18:31:40.347,0,0,0,0,0,0,0,0,0,
1.278285, 18:31:40.377,0,0,0,0,0,0,0,0,0,
1.345834, 18:31:40.452,0,0,0,0,0,0,0,0,0,
1.402066, 18:31:40.507,0,0,0,0,0,0,0,0,0,
1.461683, 18:31:40.567,0,0,0,0,0,0,0,0,0,
1.54685, 18:31:40.649,0,0,0,0,0,0,0,0,0,
1.587569, 18:31:40.688,0,0,0,0,0,0,0,0,0,
1.665255, 18:31:40.768,0,0,0,0,0,0,0,0,0,
1.776031, 18:31:40.880,0,0,0,0,0,0,0,0,0,
1.816312, 18:31:40.917,0,0,0,0,0,0,0,0,0,
1.85322, 18:31:41.070,0,0,0,0,0,0,0,0,0,
2.005699, 18:31:41.113,0,0,0,0,0,0,0,0,0,
2.110226, 18:31:41.213,0,0,0,0,0,0,0,0,0,
2.220575, 18:31:41.328,0,0,0,0,0,0,0,0,0,
2.274097, 18:31:41.376,0,0,0,0,0,0,0,0,0,
2.328401, 18:31:41.432,0,0,0,0,0,0,0,0,0,
2.36834, 18:31:41.471,0,0,0,0,0,0,0,0,0,
2.405113, 18:31:41.505,0,0,0,0,0,0,0,0,0,
2.439128, 18:31:41.538,0,0,0,0,0,0,0,0,0,
2.476643, 18:31:41.580,0,0,0,0,0,0,0,0,0,
2.515695, 18:31:41.615,0,0,0,0,0,0,0,0,0,
2.553314, 18:31:41.658,0,0,0,0,0,0,0,0,0,
2.616298, 18:31:41.722,0,0,0,0,0,0,0,0,0,
2.680912, 18:31:41.785,0,0,0,0,0,0,0,0,0,
2.733677, 18:31:41.836,0,0,0,0,0,0,0,0,0,
2.777075, 18:31:41.877,0,0,0,0,0,0,0,0,0,
2.815242, 18:31:41.915,0,0,0,0,0,0,0,0,0,
2.861711, 18:31:41.966,0,0,0,0,0,0,0,0,0,
2.903665, 18:31:42.004,0,0,0,0,0,0,0,0,0,
2.945195, 18:31:42.045,0,0,0,0,0,0,0,0,0,
2.985568, 18:31:42.086,0,0,0,0,0,0,0,0,0,
3.022339, 18:31:42.123,0,0,0,0,0,0,0,0,0,
3.064468, 18:31:42.165,0,0,0,0,0,0,0,0,0,
3.099947, 18:31:42.200,0,0,0,0,0,0,0,0,0,
3.134505, 18:31:42.235,0,0,0,0,0,0,0,0,0,
3.183989, 18:31:42.287,0,0,0,0,0,0,0,0,0,
3.221941, 18:31:42.323,0,0,0,0,0,0,0,0,0,
3.258079, 18:31:42.360,0,0,0,0,0,0,0,0,0,
3.297891, 18:31:42.398,0,0,0,0,0,0,0,0,0,
3.334827, 18:31:42.435,0,0,0,0,0,0,0,0,0,
3.373416, 18:31:42.474,0,0,0,0,0,0,0,0,0,
3.410951, 18:31:42.512,0,0,0,0,0,0,0,0,0,
3.448854, 18:31:42.550,0,0,0,0,0,0,0,0,0,
3.490112, 18:31:42.591,0,0,0,0,0,0,0,0,0,
3.525551, 18:31:42.627,0,0,0,0,0,0,0,0,0,
3.563274, 18:31:42.665,0,0,0,0,0,0,0,0,0,
3.60651, 18:31:42.707,0,0,0,0,0,0,0,0,0,
3.643503, 18:31:42.744,0,0,0,0,0,0,0,0,0,
3.684264, 18:31:42.787,0,0,0,0,0,0,0,0,0,
3.723068, 18:31:42.827,0,0,0,0,0,0,0,0,0,
3.762307, 18:31:42.864,0,0,0,0,0,0,0,0,0,
3.808182, 18:31:42.911,0,0,0,0,0,0,0,0,0,
3.920264, 18:31:43.029,0,0,0,0,0,0,0,0,0,
3.973514, 18:31:43.076,0,0,0,0,0,0,0,0,0,
4.016461, 18:31:43.117,0,0,0,0,0,0,0,0,0,
4.059984, 18:31:43.162,0,0,0,0,0,0,0,0,0,
4.100526, 18:31:43.205,0,0,0,0,0,0,0,0,0,
4.16897, 18:31:43.270,0,0,0,0,0,0,0,0,0,
4.209343, 18:31:43.310,0,0,0,0,0,0,0,0,0,
4.248623, 18:31:43.350,0,0,0,0,0,0,0,0,0,
4.289597, 18:31:43.390,0,0,0,0,0,0,0,0,0,
4.328784, 18:31:43.430,0,0,0,0,0,0,0,0,0,
4.365942, 18:31:43.468,0,0,0,0,0,0,0,0,0,
4.405508, 18:31:43.507,0,0,0,0,0,0,0,0,0,
4.444915, 18:31:43.547,0,0,0,0,0,0,0,0,0,
4.4842, 18:31:43.585,0,0,0,0,0,0,0,0,0,
4.520861, 18:31:43.622,0,0,0,0,0,0,0,0,0,
4.55876, 18:31:43.663,0,0,0,0,0,0,0,0,0,
4.602145, 18:31:43.704,0,0,0,0,0,0,0,0,0,
4.63981, 18:31:43.738,0,0,0,0,0,0,0,0,0,
4.692958, 18:31:43.794,0,0,0,0,0,0,0,0,0,
4.735831, 18:31:43.836,0,0,0,0,0,0,0,0,0,
4.774404, 18:31:43.875,0,0,0,0,0,0,0,0,0,
4.813376, 18:31:43.914,0,0,0,0,0,0,0,0,0,
4.85124, 18:31:43.953,0,0,0,0,0,0,0,0,0,
4.891197, 18:31:43.994,0,0,0,0,0,0,0,0,0,
4.931768, 18:31:44.033,0,0,0,0,0,0,0,0,0,
4.971148, 18:31:44.073,0,0,0,0,0,0,0,0,0,
5.013332, 18:31:44.115,0,0,0,0,0,0,0,0,0,
5.055663, 18:31:44.157,0,0,0,0,0,0,0,0,0,
5.112682, 18:31:44.217,0,0,0,0,0,0,0,0,0,
5.167692, 18:31:44.270,0,0,0,0,0,0,0,0,0,
5.21328, 18:31:44.315,0,0,0,0,0,0,0,0,0,
5.26048, 18:31:44.364,0,0,0,0,0,0,0,0,0,
5.302973, 18:31:44.402,0,0,0,0,0,0,0,0,0,
5.34003, 18:31:44.440,0,0,0,0,0,0,0,0,0,
5.38146, 18:31:44.483,0,0,0,0,0,0,0,0,0,
5.423193, 18:31:44.525,0,0,0,0,0,0,0,0,0,
5.46132, 18:31:44.563,0,0,0,0,0,0,0,0,0,
5.50516, 18:31:44.606,0,0,0,0,0,0,0,0,0,
5.545168, 18:31:44.645,0,0,0,0,0,0,0,0,0,
5.585727, 18:31:44.694,0,0,0,0,0,0,0,0,0,
5.631241, 18:31:44.732,0,0,0,0,0,0,0,0,0,
5.669126, 18:31:44.770,0,0,0,0,0,0,0,0,0,
5.711515, 18:31:44.813,0,0,0,0,0,0,0,0,0,
5.755299, 18:31:44.856,0,0,0,0,0,0,0,0,0,
5.796161, 18:31:44.900,0,0,0,0,0,0,0,0,0,
5.841509, 18:31:44.943,0,0,0,0,0,0,0,0,0,
5.883206, 18:31:44.983,0,0,0,0,0,0,0,0,0,
5.922433, 18:31:45.023,0,0,0,0,0,0,0,0,0,
5.960578, 18:31:45.063,0,0,0,0,0,0,0,0,0,
6.001059, 18:31:45.104,0,0,0,0,0,0,0,0,0,
6.043211, 18:31:45.146,0,0,0,0,0,0,0,0,0,
6.083792, 18:31:45.187,0,0,0,0,0,0,0,0,0,
6.128766, 18:31:45.231,0,0,0,0,0,0,0,0,0,
6.169925, 18:31:45.270,0,0,0,0,0,0,0,0,0,
