*ExampleName's Movement Data*
,Elapsed_Time,System_Time,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,RHand_PosX,RHand_PosY,RHand_PosZ,RHand_RotX,RHand_RotY,RHand_RotZ,LHand_PosX,LHand_PosY,LHand_PosZ,LHand_RotX,LHand_RotY,LHand_RotZ,
,0.02000,04:22:22,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.14252,-0.87178,0.69705,73.87246,54.57433,54.53879,0.14252,-0.87178,0.69705,73.87246,54.57433,54.53879,
,0.04000,04:22:22,-10.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.14252,-0.87180,0.69706,73.87270,54.58339,54.54285,0.14252,-0.87180,0.69706,73.87270,54.58339,54.54285,
,0.37333,04:22:22,-10.01452,-0.21781,0.20744,356.54880,1.31952,1.90453,0.14255,-0.87179,0.69709,73.87958,54.58706,54.52688,0.14255,-0.87179,0.69709,73.87958,54.58706,54.52688,
,0.41660,04:22:22,-10.01406,-0.21778,0.20671,356.47160,1.65647,1.93780,0.14256,-0.87178,0.69709,73.88114,54.58503,54.52327,0.14256,-0.87178,0.69709,73.88114,54.58503,54.52327,
,0.45202,04:22:22,-10.01378,-0.21779,0.20618,356.41140,1.86740,1.90913,0.14252,-0.87177,0.69707,73.88181,54.58308,54.51934,0.14252,-0.87177,0.69707,73.88181,54.58308,54.51934,
,0.46830,04:22:22,-10.01369,-0.21782,0.20594,356.38370,1.95849,1.85291,0.14253,-0.87177,0.69708,73.88071,54.58429,54.51997,0.14253,-0.87177,0.69708,73.88071,54.58429,54.51997,
,0.53002,04:22:22,-10.01372,-0.21826,0.20534,356.26510,2.00555,1.27630,0.14252,-0.87177,0.69709,73.88352,54.58432,54.51732,0.14252,-0.87177,0.69709,73.88352,54.58432,54.51732,
,0.55781,04:22:23,-10.01400,-0.21879,0.20529,356.13670,1.82397,0.78800,0.14253,-0.87177,0.69709,73.88359,54.58171,54.51480,0.14253,-0.87177,0.69709,73.88359,54.58171,54.51480,
,0.58197,04:22:23,-10.01434,-0.21944,0.20530,356.01800,1.64264,0.28503,0.14253,-0.87177,0.69710,73.88519,54.58219,54.51503,0.14253,-0.87177,0.69710,73.88519,54.58219,54.51503,
,0.60538,04:22:23,-10.01464,-0.22017,0.20532,355.89730,1.61480,359.86150,0.14252,-0.87178,0.69709,73.88560,54.58258,54.51513,0.14252,-0.87178,0.69709,73.88560,54.58258,54.51513,
