Elapsed_Time,System_Time,Cursor_Moving,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,RHand_PosX,RHand_PosY,RHand_PosZ,RHand_RotX,RHand_RotY,RHand_RotZ,LHand_PosX,LHand_PosY,LHand_PosZ,LHand_RotX,LHand_RotY,LHand_RotZ,
,0.02000,16:24:10.552,0,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,0.04000,16:24:10.812,0,-10.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,0.37333,16:24:11.685,0,-10.04274,-0.13065,0.15423,2.56782,344.03710,39.10630,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,0.48579,16:24:11.775,0,-10.03240,-0.13794,0.14718,352.86470,342.67280,32.77953,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,0.72391,16:24:12.017,0,-10.01579,-0.15466,0.14865,335.58230,346.37990,18.07023,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,0.77622,16:24:12.059,0,-10.01618,-0.15471,0.15044,336.20190,350.15010,15.75446,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,1.10955,16:24:12.773,0,-10.00422,-0.18522,0.18885,355.83170,353.88540,356.68270,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,1.15596,16:24:12.805,0,-10.00463,-0.18812,0.19079,356.15800,354.14610,357.07850,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,1.18258,16:24:12.831,0,-10.00483,-0.18954,0.19137,357.14010,353.60100,357.03880,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
,1.24502,16:24:12.895,0,-10.00564,-0.19288,0.19278,358.88570,352.61880,356.56670,0.61295,-0.87112,0.69632,81.32674,36.04992,78.18159,-0.24734,-0.88232,0.88978,73.06915,61.70626,311.83160,
