
,Elapsed_Time,System_Time,Cursor_Moving,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,RHand_PosX,RHand_PosY,RHand_PosZ,RHand_RotX,RHand_RotY,RHand_RotZ,LHand_PosX,LHand_PosY,LHand_PosZ,LHand_RotX,LHand_RotY,LHand_RotZ,
,0.02000,15:25:48.619,0,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.01113,-0.73180,0.59824,341.99130,22.23501,340.96030,-0.07884,-0.74615,0.56489,333.93870,337.91100,5.46750,
,0.04000,15:25:48.879,0,-10.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,-0.00556,-0.73632,0.58744,331.30050,38.49597,343.13550,-0.07730,-0.76549,0.58311,344.94670,329.31600,5.25062,
,0.37333,15:25:57.354,0,-10.04107,-0.23380,0.09475,356.29920,2.69879,4.22024,-0.00575,-0.73664,0.58751,17.77775,350.19090,65.27925,-0.07747,-0.76552,0.58317,30.47913,25.02037,313.60830,
,0.44182,15:25:57.411,0,-10.04099,-0.23381,0.09488,356.28600,2.75249,4.20954,-0.00575,-0.73664,0.58751,17.79820,350.17810,65.30507,-0.07747,-0.76552,0.58317,30.50126,25.00062,313.60060,
,0.49290,15:25:57.458,0,-10.04082,-0.23386,0.09499,356.32750,2.83380,4.10620,-0.00575,-0.73664,0.58751,17.82840,350.18920,65.48435,-0.07747,-0.76552,0.58317,30.48264,24.97617,313.69560,
,0.52483,15:25:57.488,0,-10.04071,-0.23391,0.09506,356.39650,2.86366,4.04222,-0.00575,-0.73664,0.58751,17.83593,350.15630,65.59574,-0.07747,-0.76552,0.58317,30.49647,24.98009,313.73480,
,0.56833,15:25:57.533,0,-10.04060,-0.23398,0.09513,356.47720,2.89063,3.97839,-0.00575,-0.73664,0.58751,17.81067,350.12960,65.62935,-0.07747,-0.76552,0.58317,30.50839,24.94506,313.71550,
,0.59546,15:25:57.559,0,-10.04052,-0.23403,0.09516,356.52190,2.89447,3.94940,-0.00575,-0.73664,0.58751,17.81270,350.13780,65.64281,-0.07747,-0.76552,0.58317,30.51058,24.91226,313.68130,
,0.61836,15:25:57.582,0,-10.04046,-0.23407,0.09519,356.57240,2.91356,3.91961,-0.00575,-0.73664,0.58751,17.82808,350.13460,65.63734,-0.07747,-0.76552,0.58317,30.51154,24.90894,313.67940,
,0.63559,15:25:57.600,0,-10.04042,-0.23409,0.09521,356.59840,2.92061,3.91839,-0.00575,-0.73664,0.58751,17.81775,350.12690,65.63464,-0.07747,-0.76552,0.58317,30.49917,24.91228,313.68000,
,0.67408,15:25:57.638,0,-10.04034,-0.23414,0.09525,356.64530,2.94150,3.90053,-0.00575,-0.73664,0.58751,17.80684,350.11370,65.63761,-0.07747,-0.76552,0.58317,30.48486,24.91604,313.66610,
,0.69357,15:25:57.656,0,-10.04031,-0.23415,0.09526,356.67270,2.94873,3.88215,-0.00575,-0.73664,0.58751,17.80165,350.10360,65.63727,-0.07747,-0.76552,0.58317,30.48221,24.92355,313.65740,
,0.71693,15:25:57.680,0,-10.04026,-0.23416,0.09526,356.70030,2.95485,3.87105,-0.00575,-0.73664,0.58751,17.79259,350.08820,65.64500,-0.07747,-0.76552,0.58317,30.47939,24.93333,313.64310,
,0.73417,15:25:57.697,0,-10.04022,-0.23418,0.09527,356.70900,2.95532,3.85829,-0.00575,-0.73664,0.58751,17.78958,350.08320,65.65035,-0.07747,-0.76552,0.58317,30.47752,24.94063,313.63260,
,0.75425,15:25:57.717,0,-10.04018,-0.23419,0.09527,356.71440,2.96036,3.84879,-0.00575,-0.73664,0.58751,17.78906,350.08130,65.65670,-0.07747,-0.76552,0.58317,30.47708,24.94283,313.62080,
,0.77705,15:25:57.740,0,-10.04013,-0.23420,0.09526,356.72250,2.96332,3.82313,-0.00575,-0.73664,0.58751,17.78845,350.08000,65.66055,-0.07747,-0.76552,0.58317,30.47854,24.94301,313.61130,
,0.80042,15:25:57.764,0,-10.04008,-0.23421,0.09525,356.72860,2.97310,3.81195,-0.00575,-0.73664,0.58751,17.79050,350.07570,65.66039,-0.07747,-0.76552,0.58317,30.47934,24.94229,313.60760,
,0.82392,15:25:57.787,0,-10.04002,-0.23422,0.09522,356.71240,2.98574,3.78933,-0.00575,-0.73664,0.58751,17.79692,350.07220,65.65849,-0.07747,-0.76552,0.58317,30.48170,24.93954,313.60690,
,0.84587,15:25:57.809,0,-10.03997,-0.23423,0.09521,356.70420,2.99549,3.77352,-0.00575,-0.73664,0.58751,17.80596,350.06690,65.65298,-0.07747,-0.76552,0.58317,30.48504,24.93650,313.61130,
,0.86942,15:25:57.832,0,-10.03992,-0.23423,0.09520,356.69220,3.02587,3.75148,-0.00575,-0.73664,0.58751,17.81291,350.06280,65.65099,-0.07747,-0.76552,0.58317,30.48884,24.93601,313.61740,
,0.89090,15:25:57.854,0,-10.03987,-0.23423,0.09519,356.68060,3.05864,3.73334,-0.00575,-0.73664,0.58751,17.81934,350.06300,65.65501,-0.07747,-0.76552,0.58317,30.49569,24.93168,313.61840,
,0.91198,15:25:57.876,0,-10.03983,-0.23422,0.09518,356.67980,3.08226,3.72004,-0.00575,-0.73664,0.58751,17.82317,350.06220,65.66124,-0.07747,-0.76552,0.58317,30.50313,24.92994,313.62150,
,0.93541,15:25:57.898,0,-10.03979,-0.23421,0.09519,356.67850,3.09258,3.69690,-0.00575,-0.73664,0.58751,17.82736,350.05680,65.67067,-0.07747,-0.76552,0.58317,30.50865,24.93174,313.62600,
,0.95613,15:25:57.919,0,-10.03977,-0.23420,0.09520,356.69060,3.12839,3.68925,-0.00575,-0.73664,0.58751,17.82889,350.05140,65.67883,-0.07747,-0.76552,0.58317,30.51361,24.93236,313.62810,
,0.97852,15:25:57.942,0,-10.03976,-0.23420,0.09522,356.69010,3.13731,3.67668,-0.00575,-0.73664,0.58751,17.81307,350.06080,65.71984,-0.07747,-0.76552,0.58317,30.51244,24.94315,313.65610,
,0.99890,15:25:57.962,0,-10.03975,-0.23420,0.09526,356.69540,3.13724,3.65991,-0.00575,-0.73664,0.58751,17.82043,350.05500,65.71574,-0.07747,-0.76552,0.58317,30.51686,24.94444,313.66650,
,1.02094,15:25:57.985,0,-10.03975,-0.23421,0.09530,356.70170,3.13452,3.66416,-0.00575,-0.73664,0.58751,17.82275,350.05120,65.71674,-0.07747,-0.76552,0.58317,30.51826,24.94001,313.67280,
,1.04477,15:25:58.007,0,-10.03976,-0.23423,0.09536,356.70680,3.13512,3.66816,-0.00575,-0.73664,0.58751,17.82579,350.04840,65.72439,-0.07747,-0.76552,0.58317,30.52201,24.93846,313.67290,
,1.06738,15:25:58.031,0,-10.03978,-0.23423,0.09541,356.73440,3.12819,3.64492,-0.00575,-0.73664,0.58751,17.83436,350.04430,65.72193,-0.07747,-0.76552,0.58317,30.52530,24.93347,313.67210,
,1.09134,15:25:58.055,0,-10.03981,-0.23424,0.09548,356.75350,3.11089,3.65482,-0.00575,-0.73664,0.58751,17.82920,350.04140,65.78189,-0.07747,-0.76552,0.58317,30.48800,24.91928,313.72240,
