*'s Movement Data*
,Elapsed_Time,System_Time,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,RHand_PosX,RHand_PosY,RHand_PosZ,RHand_RotX,RHand_RotY,RHand_RotZ,LHand_PosX,LHand_PosY,LHand_PosZ,LHand_RotX,LHand_RotY,LHand_RotZ,
,0.02000,04:04:59,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.46299,-0.86421,0.73002,76.41251,33.62776,51.04719,0.46299,-0.86421,0.73002,76.41251,33.62776,51.04719,
,0.04000,04:04:59,-10.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.46302,-0.86423,0.73000,76.42040,33.61094,51.02695,0.46302,-0.86423,0.73000,76.42040,33.61094,51.02695,
,0.37333,04:05:00,-10.04446,-0.18595,0.13257,343.10390,19.13156,4.68083,0.46318,-0.86428,0.72988,76.41509,33.64582,51.05630,0.46318,-0.86428,0.72988,76.41509,33.64582,51.05630,
,0.43490,04:05:00,-10.04538,-0.18577,0.13184,342.62810,17.82847,4.69136,0.46318,-0.86429,0.72989,76.42146,33.63346,51.04168,0.46318,-0.86429,0.72989,76.42146,33.63346,51.04168,
,0.47449,04:05:00,-10.04593,-0.18566,0.13136,342.45610,16.99854,4.73068,0.46318,-0.86428,0.72989,76.41583,33.65570,51.06484,0.46318,-0.86428,0.72989,76.41583,33.65570,51.06484,
,0.49178,04:05:00,-10.04616,-0.18562,0.13115,342.41930,16.65303,4.76437,0.46320,-0.86428,0.72989,76.41412,33.66413,51.07251,0.46320,-0.86428,0.72989,76.41412,33.66413,51.07251,
,0.53163,04:05:00,-10.04667,-0.18552,0.13059,342.40500,15.87516,4.85073,0.46321,-0.86430,0.72987,76.42287,33.64949,51.05725,0.46321,-0.86430,0.72987,76.42287,33.64949,51.05725,
,0.55760,04:05:00,-10.04696,-0.18548,0.13020,342.40810,15.39153,4.87659,0.46321,-0.86430,0.72987,76.42940,33.63331,51.04062,0.46321,-0.86430,0.72987,76.42940,33.63331,51.04062,
,0.57843,04:05:00,-10.04719,-0.18546,0.12984,342.39740,15.02318,4.86911,0.46321,-0.86429,0.72986,76.42635,33.64103,51.04809,0.46321,-0.86429,0.72986,76.42635,33.64103,51.04809,
,0.59859,04:05:00,-10.04739,-0.18545,0.12948,342.36870,14.68899,4.85671,0.46322,-0.86428,0.72986,76.41943,33.65227,51.06052,0.46322,-0.86428,0.72986,76.41943,33.65227,51.06052,
,0.61422,04:05:00,-10.04754,-0.18545,0.12920,342.32640,14.44198,4.84410,0.46321,-0.86428,0.72984,76.41238,33.66440,51.07403,0.46321,-0.86428,0.72984,76.41238,33.66440,51.07403,
,0.63759,04:05:00,-10.04776,-0.18544,0.12879,342.25840,14.09648,4.84313,0.46321,-0.86429,0.72982,76.41100,33.66187,51.07079,0.46321,-0.86429,0.72982,76.41100,33.66187,51.07079,
,0.65114,04:05:00,-10.04788,-0.18544,0.12856,342.21990,13.89468,4.86178,0.46320,-0.86429,0.72983,76.41750,33.65103,51.05879,0.46320,-0.86429,0.72983,76.41750,33.65103,51.05879,
,0.67088,04:05:00,-10.04805,-0.18544,0.12823,342.18560,13.60732,4.91449,0.46320,-0.86429,0.72985,76.42785,33.63074,51.03714,0.46320,-0.86429,0.72985,76.42785,33.63074,51.03714,
,0.68445,04:05:00,-10.04816,-0.18543,0.12802,342.18370,13.41161,4.95595,0.46321,-0.86428,0.72987,76.43481,33.62260,51.02815,0.46321,-0.86428,0.72987,76.43481,33.62260,51.02815,
,0.70582,04:05:00,-10.04830,-0.18542,0.12769,342.21210,13.12231,5.02552,0.46322,-0.86427,0.72991,76.43748,33.63008,51.03495,0.46322,-0.86427,0.72991,76.43748,33.63008,51.03495,
,0.72038,04:05:00,-10.04837,-0.18540,0.12747,342.23700,12.95587,5.05715,0.46321,-0.86427,0.72993,76.43018,33.65114,51.05569,0.46321,-0.86427,0.72993,76.43018,33.65114,51.05569,
,0.74138,04:05:00,-10.04845,-0.18537,0.12713,342.26720,12.72824,5.07862,0.46321,-0.86428,0.72989,76.41530,33.68622,51.09337,0.46321,-0.86428,0.72989,76.41530,33.68622,51.09337,
,0.75879,04:05:00,-10.04849,-0.18534,0.12684,342.27550,12.58312,5.07780,0.46322,-0.86429,0.72985,76.40829,33.69338,51.10108,0.46322,-0.86429,0.72985,76.40829,33.69338,51.10108,
,0.77236,04:05:00,-10.04851,-0.18531,0.12657,342.27330,12.47997,5.06566,0.46324,-0.86430,0.72985,76.40972,33.69130,51.09970,0.46324,-0.86430,0.72985,76.40972,33.69130,51.09970,
,0.78657,04:05:00,-10.04853,-0.18527,0.12630,342.25980,12.39627,5.04190,0.46326,-0.86431,0.72985,76.41827,33.67471,51.08058,0.46326,-0.86431,0.72985,76.41827,33.67471,51.08058,
,0.80221,04:05:00,-10.04854,-0.18523,0.12598,342.23150,12.32423,4.99730,0.46327,-0.86431,0.72985,76.43377,33.64991,51.05531,0.46327,-0.86431,0.72985,76.43377,33.64991,51.05531,
,0.81629,04:05:00,-10.04855,-0.18520,0.12571,342.19140,12.28373,4.94237,0.46328,-0.86431,0.72986,76.44319,33.63187,51.03658,0.46328,-0.86431,0.72986,76.44319,33.63187,51.03658,
,0.83627,04:05:01,-10.04854,-0.18516,0.12525,342.10480,12.23869,4.82945,0.46330,-0.86430,0.72991,76.45320,33.62085,51.02525,0.46330,-0.86430,0.72991,76.45320,33.62085,51.02525,
,0.85062,04:05:01,-10.04854,-0.18514,0.12492,342.03200,12.22245,4.73525,0.46329,-0.86430,0.72991,76.44636,33.63731,51.04211,0.46329,-0.86430,0.72991,76.44636,33.63731,51.04211,
,0.86727,04:05:01,-10.04854,-0.18512,0.12453,341.93780,12.21936,4.61257,0.46327,-0.86431,0.72989,76.43070,33.66713,51.07129,0.46327,-0.86431,0.72989,76.43070,33.66713,51.07129,
,0.92955,04:05:01,-10.04862,-0.18508,0.12322,341.54780,12.22501,4.15837,0.46328,-0.86433,0.72986,76.41977,33.68913,51.09414,0.46328,-0.86433,0.72986,76.41977,33.68913,51.09414,
,0.94653,04:05:01,-10.04867,-0.18507,0.12294,341.45620,12.21549,4.07569,0.46329,-0.86432,0.72988,76.43396,33.66063,51.06367,0.46329,-0.86432,0.72988,76.43396,33.66063,51.06367,
,0.96240,04:05:01,-10.04875,-0.18505,0.12270,341.38050,12.19969,4.01497,0.46328,-0.86431,0.72986,76.41183,33.70715,51.10966,0.46328,-0.86431,0.72986,76.41183,33.70715,51.10966,
,1.04055,04:05:01,-10.04935,-0.18494,0.12198,341.27460,11.96482,4.03120,0.46329,-0.86431,0.72986,76.40430,33.72823,51.13086,0.46329,-0.86431,0.72986,76.40430,33.72823,51.13086,
,1.09529,04:05:01,-10.04995,-0.18499,0.12169,341.23600,11.72356,4.30749,0.46328,-0.86429,0.72989,76.43678,33.66951,51.06828,0.46328,-0.86429,0.72989,76.43678,33.66951,51.06828,
,1.24194,04:05:01,-10.05134,-0.18539,0.12047,340.50010,12.01664,3.93546,0.46317,-0.86426,0.72998,76.42944,33.68946,51.08732,0.46317,-0.86426,0.72998,76.42944,33.68946,51.08732,
,1.26988,04:05:01,-10.05165,-0.18541,0.12045,340.73560,11.91440,4.11454,0.46313,-0.86427,0.72997,76.42405,33.69730,51.09497,0.46313,-0.86427,0.72997,76.42405,33.69730,51.09497,
,1.28713,04:05:01,-10.05182,-0.18543,0.12045,340.92460,11.81223,4.26640,0.46311,-0.86427,0.72996,76.42271,33.69881,51.09651,0.46311,-0.86427,0.72996,76.42271,33.69881,51.09651,
,1.30294,04:05:01,-10.05196,-0.18545,0.12046,341.08520,11.70721,4.39239,0.46310,-0.86426,0.72996,76.42553,33.69063,51.08786,0.46310,-0.86426,0.72996,76.42553,33.69063,51.08786,
,1.31785,04:05:01,-10.05206,-0.18546,0.12047,341.22790,11.60867,4.49595,0.46310,-0.86426,0.72995,76.42894,33.68532,51.08226,0.46310,-0.86426,0.72995,76.42894,33.68532,51.08226,
