ExampleName's Movement Data:
,Elapsed_Time,System_Time,Cursor_Moving,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,RHand_PosX,RHand_PosY,RHand_PosZ,RHand_RotX,RHand_RotY,RHand_RotZ,LHand_PosX,LHand_PosY,LHand_PosZ,LHand_RotX,LHand_RotY,LHand_RotZ,
,0.02000,11:17:32.1305,0,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,-0.27471,-0.86404,0.99019,80.07895,2.54389,79.36234,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.04000,11:17:32.4588,0,-10.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,-0.27471,-0.86404,0.99019,80.08635,2.62667,79.44894,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.37333,11:17:33.0722,0,-10.07550,-0.20145,0.14552,356.13020,333.71570,355.16670,-0.27471,-0.86404,0.99019,80.09435,2.78470,79.61266,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.43178,11:17:33.1210,0,-10.07600,-0.20262,0.14502,356.28120,335.30080,353.63580,-0.27471,-0.86404,0.99019,80.09372,2.79418,79.62243,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.47739,11:17:33.1639,0,-10.07753,-0.20318,0.14408,356.48810,336.54580,351.96410,-0.27471,-0.86404,0.99019,80.09286,2.81175,79.64152,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.49471,11:17:33.1799,0,-10.07792,-0.20321,0.14383,356.69090,336.76910,351.58460,-0.27471,-0.86404,0.99019,80.09357,2.81542,79.64645,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.52004,11:17:33.2068,0,-10.07839,-0.20312,0.14360,356.82720,337.02290,351.26180,-0.27471,-0.86404,0.99019,80.09353,2.82390,79.65589,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.54750,11:17:33.2327,0,-10.07864,-0.20269,0.14341,356.67500,337.44380,351.38060,-0.27471,-0.86404,0.99019,80.09372,2.82893,79.66119,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.57125,11:17:33.2567,0,-10.07872,-0.20190,0.14333,356.48190,338.11150,351.86430,-0.27471,-0.86404,0.99019,80.09554,2.83713,79.66846,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.59457,11:17:33.2796,0,-10.07909,-0.20082,0.14344,355.96650,339.03040,352.35310,-0.27471,-0.86404,0.99019,80.09792,2.84177,79.67290,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.61248,11:17:33.2976,0,-10.07927,-0.19993,0.14371,355.55780,339.53340,352.72780,-0.27471,-0.86404,0.99019,80.09795,2.84561,79.67773,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.63558,11:17:33.3205,0,-10.07887,-0.19876,0.14402,355.47730,339.63470,353.75680,-0.27471,-0.86404,0.99019,80.09847,2.84002,79.67179,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.65087,11:17:33.3365,0,-10.07862,-0.19823,0.14427,355.20470,339.63490,354.47260,-0.27471,-0.86404,0.99019,80.09893,2.84203,79.67468,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.66773,11:17:33.3524,0,-10.07843,-0.19773,0.14448,354.77750,339.66030,355.16580,-0.27471,-0.86404,0.99019,80.09849,2.84422,79.67750,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.68131,11:17:33.3664,0,-10.07832,-0.19734,0.14457,354.32360,339.67150,355.63780,-0.27471,-0.86404,0.99019,80.10011,2.85160,79.68637,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.70423,11:17:33.3893,0,-10.07805,-0.19680,0.14463,353.28010,339.57460,356.42060,-0.27471,-0.86404,0.99019,80.10123,2.85799,79.69214,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.72367,11:17:33.4128,0,-10.07791,-0.19652,0.14454,351.98880,339.60350,357.04930,-0.27471,-0.86404,0.99019,80.10241,2.85506,79.68777,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.75629,11:17:33.4427,0,-10.07826,-0.19649,0.14359,348.97950,340.60360,357.67430,-0.27471,-0.86404,0.99019,80.10282,2.86531,79.69755,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.77572,11:17:33.4626,0,-10.07879,-0.19675,0.14255,346.69960,341.72660,357.82500,-0.27471,-0.86404,0.99019,80.10239,2.86840,79.70015,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.79854,11:17:33.4866,0,-10.07948,-0.19752,0.14133,343.50740,343.27400,357.96270,-0.27471,-0.86404,0.99019,80.10307,2.87883,79.70980,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.81648,11:17:33.5060,0,-10.08011,-0.19833,0.14063,340.79610,344.53580,358.14530,-0.27471,-0.86404,0.99019,80.10298,2.87968,79.71096,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.84286,11:17:33.5320,0,-10.08119,-0.19959,0.13979,337.49840,346.50860,358.19090,-0.27471,-0.86404,0.99019,80.10292,2.88456,79.71478,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.86530,11:17:33.5499,0,-10.08201,-0.20059,0.13941,335.86630,347.82630,358.34130,-0.27471,-0.86404,0.99019,80.10409,2.89340,79.72351,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.89098,11:17:33.5808,0,-10.08253,-0.20134,0.13958,335.73420,348.54030,358.74770,-0.27471,-0.86404,0.99019,80.10352,2.90066,79.73271,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.90966,11:17:33.5948,0,-10.08279,-0.20162,0.14008,336.38230,348.53730,359.05360,-0.27471,-0.86404,0.99019,80.10521,2.90917,79.74129,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.92472,11:17:33.6088,0,-10.08306,-0.20174,0.14071,337.01400,348.35590,359.28850,-0.27471,-0.86404,0.99019,80.10532,2.90157,79.73438,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,0.99222,11:17:33.6796,0,-10.08466,-0.20183,0.14439,339.72870,347.31490,359.81160,-0.27471,-0.86404,0.99019,80.10741,2.90864,79.74346,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
,1.00817,11:17:33.6935,0,-10.08495,-0.20181,0.14527,340.26030,347.15580,359.89210,-0.27471,-0.86404,0.99019,80.10703,2.90664,79.74314,-0.44193,-0.88535,0.77560,76.51847,3.50202,311.99080,
