Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 18:07:53.027,0,0,0,0,0,0,0,0,0,
0.04, 18:07:53.215,0,0,0,0,0,0,0,0,0,
0.3733333, 18:07:56.579,0,0,0,0,0,0,0,0,0,
0.4813671, 18:07:56.685,0,0,0,0,0,0,0,0,0,
0.5776414, 18:07:56.770,0,0,0,0,0,0,0,0,0,
0.6130203, 18:07:56.802,0,0,0,0,0,0,0,0,0,
0.7221849, 18:07:56.917,0,0,0,0,0,0,0,0,0,
0.7821974, 18:07:56.974,0,0,0,0,0,0,0,0,0,
0.8481662, 18:07:57.039,0,0,0,0,0,0,0,0,0,
0.8882012, 18:07:57.079,0,0,0,0,0,0,0,0,0,
0.9393945, 18:07:57.129,0,0,0,0,0,0,0,0,0,
0.9864968, 18:07:57.178,0,0,0,0,0,0,0,0,0,
1.026144, 18:07:57.216,0,0,0,0,0,0,0,0,0,
1.068723, 18:07:57.258,0,0,0,0,0,0,0,0,0,
1.098931, 18:07:57.287,0,0,0,0,0,0,0,0,0,
1.154955, 18:07:57.345,0,0,0,0,0,0,0,0,0,
1.186897, 18:07:57.375,0,0,0,0,0,0,0,0,0,
1.221796, 18:07:57.411,0,0,0,0,0,0,0,0,0,
1.258887, 18:07:57.448,0,0,0,0,0,0,0,0,0,
1.289288, 18:07:57.480,0,0,0,0,0,0,0,0,0,
1.364708, 18:07:57.557,0,0,0,0,0,0,0,0,0,
1.400129, 18:07:57.590,0,0,0,0,0,0,0,0,0,
1.431511, 18:07:57.619,0,0,0,0,0,0,0,0,0,
1.476571, 18:07:57.666,0,0,0,0,0,0,0,0,0,
1.516883, 18:07:57.707,0,0,0,0,0,0,0,0,0,
1.557604, 18:07:57.747,0,0,0,0,0,0,0,0,0,
1.679742, 18:07:57.878,0,0,0,0,0,0,0,0,0,
1.732423, 18:07:57.925,0,0,0,0,0,0,0,0,0,
1.805094, 18:07:58.072,0,0,0,0,0,0,0,0,0,
1.923922, 18:07:58.119,0,0,0,0,0,0,0,0,0,
2.007209, 18:07:58.200,0,0,0,0,0,0,0,0,0,
2.192253, 18:07:58.389,0,0,0,0,0,0,0,0,0,
2.238093, 18:07:58.429,0,0,0,0,0,0,0,0,0,
2.3406, 18:07:58.536,0,0,0,0,0,0,0,0,0,
2.418786, 18:07:58.609,0,0,0,0,0,0,0,0,0,
2.752119, 18:07:59.311,0,0,0,0,0,0,0,0,0,
2.80343, 18:07:59.348,0,0,0,0,0,0,0,0,0,
2.879237, 18:07:59.423,0,0,0,0,0,0,0,0,0,
2.965014, 18:07:59.511,0,0,0,0,0,0,0,0,0,
