Elapsed_Time, System_Time, Elbow_Angle_L, Elbow_Speed_L, Elbow_Angle_R, Elbow_Speed_R, ArmUD_Angle_L, ArmUD_Speed_L, ArmUD_Angle_R, ArmUD_Speed_R, ArmLR_Angle_L, ArmLR_Speed_L, ArmLR_Angle_R, ArmLR_Speed_R
0.0550157, 19:49:50.158,105.7902,0,68.23827,0,68.92818,0,55.65763,0,52.65459,0,123.103,0,
0.1100516, 19:49:50.225,93.4045,29.06929,78.7458,236.1138,76.40993,65.49091,56.97004,14.39846,57.97242,-47.16586,122.6626,124.2199,
0.1753526, 19:49:50.275,109.2883,279.439,96.65148,421.1043,76.80916,-22.75934,57.39029,-124.4445,46.9788,-191.0571,138.0513,249.73,
0.2256852, 19:49:50.343,125.717,201.4168,127.4396,400.6419,73.77818,-84.87902,42.58007,-268.2034,35.87981,-184.9238,151.5398,219.6663,
0.2909744, 19:49:50.398,132.5765,94.58013,142.9744,157.7275,66.99529,-136.3797,26.38013,-214.8,25.59757,-147.2721,163.4495,150.1014,
0.3459031, 19:49:50.469,137.0873,69.5154,146.4013,41.61134,57.3829,-169.4698,16.75728,-126.7792,18.17507,-99.85101,169.5846,79.94725,
0.4171654, 19:49:50.528,141.3487,49.15524,148.2254,10.12671,45.60973,-160.493,10.38174,-72.35323,12.99727,-61.39188,173.5381,44.84796,
0.478434, 19:49:50.594,143.6019,29.43563,147.7434,-13.98732,36.11263,-119.1606,7.168237,-20.31964,10.03875,-33.70591,175.5284,12.82765,
0.541994, 19:49:50.652,145.0231,11.05066,146.4794,-46.82844,30.73508,-52.44067,7.845265,27.90027,8.789809,-9.225707,175.1394,-16.47561,
0.6003396, 19:49:50.722,144.949,-6.863484,142.0347,-55.15239,29.71982,7.878865,10.56944,37.3978,8.914083,10.27852,173.5199,-22.15872,
0.6770324, 19:49:50.779,144.0963,-15.02886,139.0317,-42.05766,31.79903,39.18016,12.89541,37.27666,10.1778,22.3771,172.1471,-22.08856,
0.7274662, 19:49:50.846,143.0384,-16.82407,136.6881,-35.04143,34.70066,44.99043,15.30829,40.78632,11.75881,25.48222,170.7119,-24.22226,
0.793898, 19:49:50.918,142.1301,-10.66292,134.9366,-22.06255,37.05687,26.74001,17.66192,30.68175,13.1558,16.39215,169.3163,-18.14844,
0.867501, 19:49:50.960,141.5452,-10.84015,133.5986,-20.84129,38.44519,25.03985,19.6048,31.81886,14.05428,16.35042,168.1705,-18.99335,
0.9082192, 19:49:51.046,140.8908,-11.1807,132.554,-14.82158,39.91945,23.95267,21.29949,25.69477,15.025,15.36058,167.145,-15.88737,
0.9972404, 19:49:51.102,140.0947,-11.40021,131.6756,-9.966,41.5528,21.66402,22.93843,20.33834,16.04715,13.95351,166.1092,-13.02657,
1.050284, 19:49:51.149,139.2713,-14.54293,131.1381,-8.210213,42.99714,24.99164,24.18885,21.63947,17.0073,17.12384,165.2944,-14.30406,
1.097912, 19:49:51.230,138.6306,-8.016996,130.8491,-3.19936,44.06875,12.84452,25.11691,13.53288,17.77104,9.444684,164.6692,-9.400875,
