posx,posy,posz,tag,userID,imageID,groupID,r,theta,phi,coord.x,coord.y,tag_classID,tag_class,location_num,tags_no_numbers,tags_proper
-0.6728224,-0.02793339,1.495131,Guy,1,1,1,1.639782596,1.587831964,-1.993657734,1496.674442,2070.211017,5,boat,5,boat,Boat
-0.2763151,0.3737416,-1.570123,train,1,1,1,1.637473375,1.340523809,1.744995713,6371.120688,1747.771315,25,train,6,train,Train
-1.40195,0.2335992,-0.8081042,Dump,2,1,1,1.634951004,1.42742727,2.618696047,7510.24882,1861.075812,29,trash,6,trash,Trash
-0.5142269,0.4259248,1.489447,bridge,2,1,1,1.632266402,1.306799752,-1.903230464,1614.573272,1703.80198,4,bridge,7,bridge,Bridge
-0.07672649,0.08876056,1.629809,Bridge,3,1,1,1.634026551,1.516449432,-1.617838578,1986.666441,1977.142666,46,pier,5,pier,Pier
-0.1786681,0.4613893,1.553542,light,3,1,1,1.630427895,1.283889724,-1.685300196,1898.710166,1673.931948,39,street_light3,13,street light,Street Light
-1.570496,0.2515125,-0.383526,Yellow backhoe,1,1,2,1.636095479,1.416457038,2.902073683,7879.715815,1846.772853,27,crane2,6,crane,Crane
-0.6664187,0.005360019,1.501335,Man in boat,1,1,2,1.642604455,1.567533199,-1.988552623,1503.330472,2043.745543,5,boat,5,boat,Boat
-0.2846314,0.3158371,-1.585565,Bridge,2,1,2,1.641579872,1.37719085,1.748418651,6375.583506,1795.577703,23,bridge2,7,bridge,Bridge
-0.9793546,0.3892906,-1.249472,Building,2,1,2,1.634583397,1.330326552,2.235590012,7010.756207,1734.476159,15,building2,9,building,Building
-1.413265,0.7568431,-0.3286004,Billboard,2,1,2,1.636492487,1.090007394,2.913140238,7894.144359,1421.148691,30,billboard2,10,billboard,Billboard
0.7237896,-0.77025,1.243301,Water,2,1,2,1.631855945,2.062364064,-1.04360408,2735.351825,2688.904686,11,water,6,water,Water
-1.035414,0.0805328,1.261071,Ftg,3,1,2,1.633666964,1.521480613,-2.258247014,1151.703654,1983.702306,6,barge,6,barge,Barge
